Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",-50.480000,17.780000,0.000000,top
"C2","20pF","C_0805_2012Metric",-19.050002,2.540000,90.000000,top
"C3","20pF","C_0805_2012Metric",-19.050002,-1.270000,-90.000000,top
"C4","10nF","C_0805_2012Metric",-92.710000,-11.430000,0.000000,top
"C5","10nF","C_0805_2012Metric",93.980000,26.670000,180.000000,top
"C6","100nF","C_0805_2012Metric",-93.030000,33.020000,0.000000,top
"C7","100nF","C_0805_2012Metric",-92.710000,-13.970000,0.000000,top
"C8","100nF","C_0805_2012Metric",92.710000,-13.970000,180.000000,top
"C9","100nF","C_0805_2012Metric",93.980000,24.130000,180.000000,top
"C10","1uF","C_0805_2012Metric",38.547000,26.228000,90.000000,top
"C11","10uF","C_0805_2012Metric",34.737000,26.228000,90.000000,top
"C12","1uF_X5R","C_0805_2012Metric",25.847000,35.118000,90.000000,top
"C13","100nF","C_0805_2012Metric",25.847000,30.988000,-90.000000,top
"C14","10nF_X7R","C_0805_2012Metric",36.007000,30.988000,90.000000,top
"C15","1uF","C_0805_2012Metric",36.007000,35.118000,-90.000000,top
"C16","100nF","C_0805_2012Metric",104.140000,21.590000,-90.000000,top
"D1","1N4148W","D_SOD-123",-21.590000,22.225000,90.000000,top
"D2","BAT60A","D_SOD-323",20.767000,35.118000,180.000000,top
"FB1","GZ2012D601TFCopy","L_0805_2012Metric",-6.350000,-6.350000,90.000000,top
"R1","220","R_0805_2012Metric",-24.765000,23.217500,90.000000,top
"R2","1800","R_0805_2012Metric",-28.575000,16.510000,0.000000,top
"R3","470","R_0805_2012Metric",-57.150000,12.065000,180.000000,top
"R4","220","R_0805_2012Metric",-76.200000,18.137500,90.000000,top
"R5","220","R_0805_2012Metric",-51.435000,22.860000,90.000000,top
"R6","220","R_0805_2012Metric",-73.660000,18.137500,90.000000,top
"R7","220","R_0805_2012Metric",-48.895000,22.860000,90.000000,top
"R10","1000","R_0805_2012Metric",19.685000,3.810000,0.000000,top
"R11","1000","R_0805_2012Metric",19.685000,1.905000,180.000000,top
"R12","1000","R_0805_2012Metric",19.407500,-5.715000,0.000000,top
"R13","1000","R_0805_2012Metric",19.407500,-8.255000,180.000000,top
"R14","1000","R_0805_2012Metric",37.465000,2.540000,0.000000,top
"R15","1000","R_0805_2012Metric",37.465000,0.635000,180.000000,top
"R18","10K","R_0805_2012Metric",91.440000,33.020000,90.000000,top
"R19","10K","R_0805_2012Metric",91.440000,38.100000,-90.000000,top
"R20","1000","R_0805_2012Metric",-95.250000,21.590000,-90.000000,top
"U1","STM32L476RGTx","LQFP-64_10x10mm_P0.5mm",0.000000,0.000000,0.000000,top
"U3","SN74LS14D","SOIC-14_3.9x8.7mm_P1.27mm",-61.087000,19.812000,90.000000,top
"U4","LD3985M33R_SOT23","SOT-23-5",30.927000,32.578000,0.000000,top
